Snapshot taken: 2026-03-14 04:39:01

CONTAINER ID   IMAGE                                          COMMAND                  CREATED        STATUS                 PORTS                                                                                                                                                           NAMES
333fdda2989c   linuxserver/lidarr:latest                      "/init"                  2 hours ago    Up 2 hours             0.0.0.0:8686->8686/tcp                                                                                                                                          lidarr
8d4f41ea6335   deluan/navidrome:latest                        "/app/navidrome"         2 hours ago    Up 2 hours             0.0.0.0:4533->4533/tcp                                                                                                                                          navidrome
7b6f2daabe92   linuxserver/prowlarr:latest                    "/init"                  4 hours ago    Up 4 hours             9696/tcp                                                                                                                                                        prowlarr
2850b48aa30e   linuxserver/qbittorrent:latest                 "/init"                  28 hours ago   Up 4 hours             6881/tcp, 8080/tcp, 6881/udp                                                                                                                                    qbittorrent
9146b29fa2fc   lucaslorentz/caddy-docker-proxy:2.9-alpine     "/bin/caddy docker-p…"   29 hours ago   Up 4 hours             0.0.0.0:80->80/tcp, 0.0.0.0:443->443/tcp, 2019/tcp                                                                                                              caddy
2cf8dc486040   adguard/adguardhome:v0.107.58                  "/opt/adguardhome/Ad…"   29 hours ago   Up 4 hours             80/tcp, 67-68/udp, 443/tcp, 443/udp, 853/udp, 853/tcp, 3000/udp, 5443/tcp, 0.0.0.0:53->53/tcp, 0.0.0.0:53->53/udp, 5443/udp, 6060/tcp, 0.0.0.0:3001->3000/tcp   adguard
6f8045f97957   portainer/portainer-ce:latest                  "/portainer"             29 hours ago   Up 4 hours             8000/tcp, 9000/tcp, 9443/tcp                                                                                                                                    portainer
0e3991696e9f   n8nio/n8n:latest                               "tini -- /docker-ent…"   29 hours ago   Up 4 hours             5678/tcp                                                                                                                                                        n8n
0346c76cc4aa   ghcr.io/gethomepage/homepage:latest            "docker-entrypoint.s…"   29 hours ago   Up 4 hours (healthy)   3000/tcp                                                                                                                                                        homepage
6f3282c0991c   ghcr.io/home-assistant/home-assistant:stable   "/init"                  12 days ago    Up 4 hours                                                                                                                                                                             homeassistant
